place_id,place_name,category,activities,region,duration,budget_level,tourist_type,description,latitude,longitude,image
1,Ilam & Kanyam Tea Region,Nature,"Tea Garden Visit,Photography,Walking",Eastern Nepal,"2-3 Days",Low,Both,"Famous tea gardens and green hill landscapes",26.9000,87.9200,ilam_kanyam.jpg
2,Pathibhara Temple,Cultural,"Pilgrimage,Hiking",Taplejung,"3-4 Days",Medium,Both,"Sacred hilltop temple with panoramic views",27.4333,87.7833,pathibhara.jpg
3,Kanchanjunga Base Camp,Trekking,"Hiking,Camping",Taplejung,"12-16 Days",High,International,"Remote extreme trekking route",27.7025,88.1475,kanchenjunga.jpg
4,Pashupatinath Temple,Cultural,"Temple Visit,Aarti,Sightseeing",Kathmandu Valley,"1 Day",Low,Both,"Sacred Hindu temple on Bagmati river",27.7104,85.3488,pashupatinath.jpg
5,Boudhanath Stupa,Cultural,"Meditation,Sightseeing",Kathmandu Valley,"1 Day",Low,Both,"One of the largest Buddhist stupas",27.7215,85.3620,boudhanath.jpg
6,Nagarkot,Nature,"Sunrise Viewing,Hiking",Kathmandu Valley,"1-2 Days",Low,Both,"Popular hill station near Kathmandu",27.7172,85.5245,nagarkot.jpg
7,Langtang Valley,Trekking,"Hiking,Nature Viewing",Langtang,"5-7 Days",Medium,Both,"Beautiful Himalayan valley close to Kathmandu",28.2110,85.5600,langtang.jpg
8,Phewa Lake,Nature,"Boating,Photography",Pokhara,"2-3 Days",Low,Both,"Scenic lake with mountain reflections",28.2096,83.9596,phewa_lake.jpg
9,Sarangkot,Adventure,"Sunrise Viewing,Paragliding,Hiking",Pokhara,"1-2 Days",Low,Both,"Top adventure and sunrise viewpoint",28.2420,83.9480,sarangkot.jpg
10,Annapurna Base Camp,Trekking,"Hiking,Camping",Annapurna Region,"7-10 Days",High,Both,"Famous Himalayan trekking destination",28.5300,83.8700,abc.jpg
11,Ghandruk,Cultural,"Homestay,Trekking,Culture",Annapurna Region,"2-4 Days",Medium,Both,"Traditional Gurung village with mountain views",28.3980,83.8076,ghandruk.jpg
12,Mardi Himal,Trekking,"Hiking,Camping",Annapurna Region,"5-7 Days",Medium,Both,"Scenic short trekking route",28.4440,83.8220,mardi_himal.jpg
13,Upper Mustang,Trekking,"Hiking,Jeep Tour,Sightseeing",Mustang,"7-10 Days",High,International,"Desert-like Himalayan region",29.1833,83.9500,mustang.jpg
14,Muktinath Temple,Cultural,"Pilgrimage,Sightseeing",Mustang,"3-5 Days",Medium,Both,"Sacred Hindu-Buddhist temple",28.8167,83.8667,muktinath.jpg
15,Chitwan National Park,Wildlife,"Safari,Canoeing,Elephant Ride",Terai,"2-3 Days",Medium,Both,"Top wildlife safari destination",27.5341,84.3542,chitwan.jpg
16,Lumbini,Cultural,"Temple Visit,Meditation,Cultural Tour",Lumbini,"2-3 Days",Medium,Both,"Birthplace of Lord Buddha",27.4833,83.2767,lumbini.jpg
17,Rara Lake,Nature,"Trekking,Camping,Photography",Karnali,"4-5 Days",Medium,Both,"Largest and most beautiful lake in Nepal",29.5286,82.0786,rara.jpeg
18,Khaptad National Park,Nature,"Hiking,Meditation,Nature Walk",Sudurpashchim,"3-5 Days",Medium,Both,"Peaceful spiritual grassland park",29.3772,81.1235,khaptad.jpg
19,Shuklaphanta National Park,Wildlife,"Safari,Bird Watching",Sudurpashchim,"2-4 Days",Medium,Both,"Famous wildlife reserve in far west Nepal",28.8333,80.2167,shuklaphanta.jpg
20,Everest Base Camp,Trekking,"Hiking,Adventure,Helicopter Tour",Everest Region,"10-14 Days",High,International,"World-famous trekking destination at base of Everest",28.0026,86.8528,everest_base_camp.jpg
